#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#bin_star_radius0[RSUN],#bin_star_radius1[RSUN],#snapshot, #roche_lobe1_calc[RSUN], #roche_lobe2_calc[RSUN],#radrol0,#radrol1
16.0,2.0,20.0,0.02,10560.285362634,7.5042862,0.0050290584,14.0,11.0,118226.0,122895.0,0.0080326426,5.1672316e-06,3.1818173e-05,0.075777689,initial.bhinfo0148,1.3666532291304245,0.07324911334312452,2.32903e-05,1.0349
16.0,2.0,20.0,0.02,9632.98104356,7.5040791,0.0052361605,14.0,11.0,118226.0,122895.0,0.0078155778,5.6282613e-06,3.1817295e-05,0.074764064,initial.bhinfo0140,1.3288013297678236,0.07222257453559516,2.39531e-05,1.03557
8.0,1.0,8.0,0.02,10239.213462165999,7.6927756,0.01333178,14.0,11.0,89672.0,942447.0,0.0041623536,1.3722394e-06,3.2617369e-05,0.054714203,initial.bhinfo0091,0.693704187549184,0.051827979143759376,4.70362e-05,1.05607
8.0,1.0,8.0,0.02,11277.891315235998,7.6982995,0.0078079036,14.0,11.0,89672.0,942447.0,0.0059996981,0.085765452,3.264079e-05,0.065428492,initial.bhinfo0094,1.0128163532180845,0.06268875318616651,3.22395e-05,1.04408
16.0,0.5,8.0,0.02,11811.92013144,6.156434,0.015532632,14.0,11.0,1863772.0,1997988.0,0.0034958149,0.00019188308,2.610328e-05,0.051985893,initial.bhinfo0267,0.5761399310121011,0.04919836632599954,4.53236e-05,1.05704
16.0,0.5,8.0,0.02,12072.64036524,6.1606869,0.011279723,14.0,11.0,1863772.0,1997988.0,0.0043533328,0.00023107291,2.6121312e-05,0.05786036,initial.bhinfo0269,0.7244359348942556,0.055187364703237124,3.60705e-05,1.04882
16.0,1.0,8.0,0.02,13679.029098293999,0.0077720219,7.4691133,10.0,14.0,780000.0,2717065.0,0.0059656643,2.8627509e-06,0.065529218,3.166904e-05,initial.bhinfo0199,0.06285911494167498,1.0065283448706173,1.04286,3.14751e-05
16.0,1.0,8.0,0.02,13059.315381434,0.0092274095,7.4676579,10.0,14.0,780000.0,2717065.0,0.0053059595,4.055915e-06,0.061877601,3.1662869e-05,initial.bhinfo0197,0.05914732189085332,0.8918290061407079,1.04654,3.55162e-05
8.0,0.5,8.0,0.0002,9273.258274104,3.8677374,0.024403339,14.0,11.0,946969.0,1477374.0,0.0022206927,2.2733468e-05,1.6399207e-05,0.044674013,initial.bhinfo0179,0.35268101749910014,0.04203913935267037,4.65156e-05,1.06306
8.0,0.5,8.0,0.0002,9359.967412521,3.8752787,0.016862004,14.0,11.0,946969.0,1477374.0,0.0028616597,0.024294205,1.6431182e-05,0.050575179,initial.bhinfo0180,0.4622166249205874,0.048059714338085015,3.55616e-05,1.05272
